_id,type,name,location,place_id
5fafe8175143de9ede25a278,tech_startup,Start-up Center Helsinki,"{'coordinates': [24.901684414057076, 60.165840289315554], 'type': 'Point'}",
5fafe8175143de9ede25a279,tech_startup,Bugbear Entertainment,"{'coordinates': [24.945046285388255, 60.19601011924019], 'type': 'Point'}",
5fafe8175143de9ede25a27a,tech_startup,Enkora Oy,"{'coordinates': [24.977326319911665, 60.18890163790577], 'type': 'Point'}",
5fafe8175143de9ede25a27b,tech_startup,Mendor,"{'coordinates': [24.83229020559609, 60.17808117916644], 'type': 'Point'}",
5fafe8175143de9ede25a27c,tech_startup,BiiT HQ,"{'coordinates': [24.83086109161377, 60.17584249683045], 'type': 'Point'}",
5fafe8175143de9ede25a27d,tech_startup,Cloud2,"{'coordinates': [25.033906029294243, 60.192912454144874], 'type': 'Point'}",
5fafe8175143de9ede25a27e,tech_startup,Apotti Oy,"{'coordinates': [24.87952, 60.219395], 'type': 'Point'}",
5fafe8175143de9ede25a27f,tech_startup,Fast Monkeys,"{'coordinates': [24.806323801885462, 60.18891085847971], 'type': 'Point'}",
5fafe8175143de9ede25a280,tech_startup,"Helsinki Business & Science Park, Cultivator I","{'coordinates': [25.01367646222668, 60.2267291411226], 'type': 'Point'}",
5fafe8175143de9ede25a281,tech_startup,M-Files Oy,"{'coordinates': [24.8096643187575, 60.187596836960935], 'type': 'Point'}",
5fafe8175143de9ede25a282,tech_startup,Analyse2,"{'coordinates': [24.8142930632576, 60.21848141262847], 'type': 'Point'}",
5fafe8665143de9ede25a283,Starbucks,Starbucks,"{'coordinates': [24.9432835, 60.16779979999999], 'type': 'Point'}",ChIJV5i4BcwLkkYRma1gqMu-MBM
5fafe8665143de9ede25a284,Starbucks,"Starbucks Kamppi, Helsinki","{'coordinates': [24.93343, 60.16927620000001], 'type': 'Point'}",ChIJV349VjMKkkYRC70TEscgA10
5fafe8665143de9ede25a285,Starbucks,Starbucks,"{'coordinates': [24.7370897, 60.16051239999999], 'type': 'Point'}",ChIJhZohjx31jUYR2_knWDNKe0I
5fafe8745143de9ede25a286,preschools,Päiväkoti Lappi,"{'coordinates': [24.924883149314205, 60.16528200815157], 'type': 'Point'}",
5fafe8745143de9ede25a287,preschools,Päiväkoti Leppäsuo,"{'coordinates': [24.922126482551857, 60.17009069251], 'type': 'Point'}",
5fafe8745143de9ede25a288,preschools,Päiväkoti Kaleva,"{'coordinates': [24.948555, 60.1741], 'type': 'Point'}",
5fafe8745143de9ede25a289,preschools,Päiväkoti Meripirtti,"{'coordinates': [24.935004911652754, 60.15961782458007], 'type': 'Point'}",
5fafe8745143de9ede25a28a,preschools,Päiväkoti Tähtitorni,"{'coordinates': [24.949381888590995, 60.161000491218864], 'type': 'Point'}",
5fafe8745143de9ede25a28b,preschools,Päiväkoti Virkkula,"{'coordinates': [24.955103793033985, 60.17499884716471], 'type': 'Point'}",
5fafe8745143de9ede25a28c,preschools,Päiväkoti Arla,"{'coordinates': [24.939580959984188, 60.182640756303975], 'type': 'Point'}",
5fafe8745143de9ede25a28d,preschools,Päiväkoti Kaivopuisto,"{'coordinates': [24.95236270314514, 60.15646386559243], 'type': 'Point'}",
5fafe8745143de9ede25a28e,preschools,Päiväkoti Kivelä,"{'coordinates': [24.91877770162946, 60.18055529399684], 'type': 'Point'}",
5fafe8745143de9ede25a28f,preschools,Päiväkoti Sörkka,"{'coordinates': [24.954663547109842, 60.18067000587824], 'type': 'Point'}",
5fafe8745143de9ede25a290,preschools,Päiväkoti Terhi,"{'coordinates': [24.95366378979591, 60.18225533037481], 'type': 'Point'}",
5fafe8745143de9ede25a291,preschools,Päiväkoti Franzenia,"{'coordinates': [24.95542181588054, 60.18645263946742], 'type': 'Point'}",
5fafe8745143de9ede25a292,preschools,Päiväkoti Pääskylä,"{'coordinates': [24.96500751000843, 60.19007793808456], 'type': 'Point'}",
5fafe8745143de9ede25a293,preschools,Päiväkoti Kalasatama,"{'coordinates': [24.97865657895819, 60.18459080320194], 'type': 'Point'}",
5fafe8745143de9ede25a294,preschools,Pajalahden päiväkoti,"{'coordinates': [24.88483012667587, 60.15897883741992], 'type': 'Point'}",
5fafe8745143de9ede25a295,preschools,Ankkalampi-Ankdammen,"{'coordinates': [24.882107295963266, 60.16336283062801], 'type': 'Point'}",
5fafe8745143de9ede25a296,preschools,Päiväkoti Susanna,"{'coordinates': [24.9222726348796, 60.19711820794611], 'type': 'Point'}",
5fafe8745143de9ede25a297,preschools,Päiväkoti Lehdokki,"{'coordinates': [24.945031800735073, 60.19850098855688], 'type': 'Point'}",
5fafe8745143de9ede25a298,preschools,Päiväkoti Pihlaja,"{'coordinates': [24.900029855683595, 60.19435778267055], 'type': 'Point'}",
5fafe8745143de9ede25a299,preschools,Päiväkoti Louhi,"{'coordinates': [24.97358535983232, 60.19413492426224], 'type': 'Point'}",
5fafe8745143de9ede25a29a,preschools,Päiväkoti Lokki,"{'coordinates': [24.862184881701307, 60.16032267270461], 'type': 'Point'}",
5fafe8745143de9ede25a29b,preschools,Päiväkoti Käpylinna,"{'coordinates': [24.94325638806094, 60.2113531218005], 'type': 'Point'}",
5fafe8745143de9ede25a29c,preschools,Päiväkoti Floora,"{'coordinates': [24.97192521760239, 60.208723803944416], 'type': 'Point'}",
5fafe8745143de9ede25a29d,preschools,Päiväkoti Kylätie,"{'coordinates': [24.894952800780842, 60.212558107709334], 'type': 'Point'}",
5fafe8745143de9ede25a29e,preschools,Päiväkoti Ranta,"{'coordinates': [25.03118787648434, 60.18554085183382], 'type': 'Point'}",
5fafe8745143de9ede25a29f,preschools,Päiväkoti Merituuli,"{'coordinates': [25.030605330745153, 60.189076975530924], 'type': 'Point'}",
5fafe8745143de9ede25a2a0,preschools,Otaniemen päiväkoti,"{'coordinates': [24.837012851049558, 60.190781957120215], 'type': 'Point'}",
5fafe8745143de9ede25a2a1,preschools,Päiväkoti Satama,"{'coordinates': [25.037047486920947, 60.19146856582454], 'type': 'Point'}",
5fafe8745143de9ede25a2a2,preschools,Laajasuon päiväkoti,"{'coordinates': [24.89985854485857, 60.22284650823915], 'type': 'Point'}",
5fafe8745143de9ede25a2a3,preschools,Päiväkoti Nestori,"{'coordinates': [24.95709283153266, 60.22540673382794], 'type': 'Point'}",
